"","Eagle_002_null","Eagle_004_null","Eagle_006_null","Eagle_007_null","Eagle_008_null","Eagle_012_null","Eagle_013_null","Eagle_014_null","Eagle_015_null","Eagle_020_null","Eagle_021_null","Eagle_022_null"
"POLDIP3",2597.77796622939,2827.30011503766,3406.54669729927,3391.99580389601,3244.9886614477,3232.92960347575,3254.01552502563,3070.46239091758,2984.23515535942,3268.19352550917,3114.39391186257,2520.3528303593
"RRP7A",944.646533174324,672.153804056502,786.071190901866,935.753858255367,971.463799734425,1204.47416247966,939.938022310572,714.153118437838,1113.97335941195,843.55347696499,1079.65655611236,618.330672972824
"SERHL2",273.172038511232,274.817314823101,409.471629442518,376.092459777277,353.065037348414,272.140605748543,362.666351971159,368.29707956406,357.684922876413,317.29288341215,324.345888478661,298.371534215066
"LOC104829547",7.63706774332476,4.2541380003576,6.43149156192436,10.7454988507793,9.62904647313857,0,3.32721423826751,0,3.52746472264707,6.91437276200811,3.36691233714873,14.6487316539696
"NFAM1",391.840321907509,330.12110882775,240.109018311843,269.532929507048,169.04326030621,100.792816943905,139.742998007235,161.047468483209,98.0635192895886,174.395846330649,190.791699105095,301.455477721165
"TCF20",8559.97800676808,8151.77923628524,9685.82629225809,8617.89007832502,9621.55721477058,9882.73570134988,8600.84880592152,9669.44841507793,8981.63067680398,8363.31798746892,11640.5382536355,7638.92806460691
"LOC104833067",19.3864027330552,17.0165520014304,15.0068136444902,29.5501218396432,22.46777510399,37.7973063539644,43.2537850974776,26.4012243415097,26.1032389475883,8.45090004245436,24.690690472424,23.1295762957415
"NDUFA6",305.48270973299,265.458211222315,408.042409095423,319.678590810685,340.226308717563,375.453243116046,251.204674989197,256.091876112644,273.731262477413,298.086292406572,281.69833220811,288.348717820245
"SMDT1",345.430448698074,221.215176018595,325.147628963954,274.905678932438,254.634784511887,413.25054947001,237.895818036127,314.174569663966,353.451965209237,251.222210352961,310.878239130066,232.06674883394
"FAM109B",4.69973399589216,2.55248280021456,4.28766104128291,3.58183295025978,9.62904647313857,0,4.99082135740127,3.96018365122646,9.87690122341181,3.0730545608925,4.48921644953164,6.93887288872246
"NAGA",62.8589421950576,28.9281384024317,14.292203470943,25.0728306518184,46.005444260551,60.475690166343,28.2813210252738,43.562020163491,64.1998579521767,23.8161728469168,26.9352986971898,23.1295762957415
"WBP2NL",2605.41503397272,2109.2016205773,3289.35062883754,2808.15703300366,3181.86491234601,2721.40605748543,3074.34595615918,2295.58645649427,2891.81557962607,2738.85987739544,2652.00461756081,2605.93226265355
"3-Sep",40.5352057145699,22.1215176018595,21.4383052064145,17.0137065137339,23.537669156561,35.2774859303667,66.5442847653502,19.8009182561323,27.5142248366472,28.4257546882556,34.7914274838702,30.068449184464
"CENPM",847.714519509048,1122.24160449434,1597.15373787788,1379.90114408758,1220.74911398346,1068.40385960539,1177.8338403467,995.326157674916,992.628572952887,1316.80387934243,851.828821298628,1027.72417340745
"TNFRSF13C",19.9738694825417,8.50827600071521,2.14383052064145,34.9228712650328,25.6774572617029,0,9.98164271480253,13.2006121707549,11.993380057,28.4257546882556,6.73382467429746,29.2974633079393
"SHISA8",8.22453449281128,2.55248280021456,0.714610173547151,1.79091647512989,2.1397881051419,5.03964084719525,1.66360711913376,3.96018365122646,9.87690122341181,4.60958184133874,5.61152056191455,6.93887288872246
"SREBF2",1202.54443619891,1271.13643450685,1407.06743171434,1675.40236248401,1455.0559114965,1103.68134553576,1161.19776915536,1050.76872879209,795.09054848465,1257.64757904525,1365.84410477,1151.0819136514
"CCDC134",26.4360037268934,13.6132416011443,17.1506441651316,13.4318735634742,18.1881988937062,10.0792816943905,6.65442847653502,15.8407346049058,3.52746472264707,19.2065910055781,17.9568657981266,20.8166186661674
"MEI1",98.1069471642488,94.4418636079388,90.0408818669411,78.8003249057151,92.0108885211019,68.0351514371359,91.4983915523566,112.205203451416,86.775632177118,93.7281641072211,106.618890676376,132.609570762252
"NHP2L1",1711.87810800372,1509.36816252688,2519.00086175371,1949.41258317888,1723.5993186918,2567.69701164598,1628.67136963195,1925.96931571313,2268.15981666207,1681.72910844842,2439.88914032044,1288.3173996728
"XRCC6",215.600297061553,199.944486016807,235.82135727056,453.997326445427,252.494996406745,262.061324054153,321.076173992815,188.768754041794,184.839151466707,301.927610607688,262.619162297601,245.17350873486
"DESI1",1804.69785442259,1753.5556837474,2298.18631812764,3976.73003302592,2719.67068163536,2257.75909954347,4668.08157628932,1710.79933732983,1583.83166046854,4560.41296836446,2894.42230583552,3306.75842441452
"PMM1",262.597637020474,276.518970023244,1239.13404093076,3133.20837323974,771.393611903657,491.364982601537,2635.15367670787,747.154648864725,418.357316105943,865.83312253146,1030.27517516751,826.496859634498
"CSDC2",7.63706774332476,6.80662080057217,5.71688138837721,8.0591241380845,6.41936431542571,2.51982042359762,13.30885695307,9.2404285195284,5.64394355623532,11.5239546033469,13.4676493485949,9.25183051829662
"POLR3H",340.730714702182,220.364348418524,464.496612805648,597.270644455818,369.113448136979,408.210908622815,430.874243855643,364.336895912834,394.370555991943,320.365937973043,521.871412258053,312.249279992511
"ACO2",571.605147250384,558.142905646918,708.178681985227,621.448016870071,614.119186175727,705.549718607335,885.038987379158,663.990792188969,661.046889024062,605.391748495822,628.490302934429,693.887288872246
"PHF5A",843.014785513156,671.30297645643,925.420174743561,816.657912659229,863.404500424759,949.972299696304,941.601629429706,818.437954586801,965.819841060769,759.812740180669,896.720985793945,619.101658849349
"TOB2",1009.26787561784,1139.25815649577,1465.66546594521,1654.80682302002,1326.66862518798,1113.76062723015,1577.0995489388,1217.0964421436,1104.09645818853,1326.79130666533,1149.2394110801,1622.92527008453
"TEF",1365.86019255616,1634.43981973739,2341.77753871402,2149.99522839343,1883.01353252488,1685.75986338681,2317.40471695332,1896.92796893747,1600.05799819271,2017.46031922592,1884.3486046909,2313.72861545068
"ZC3H7B",5328.91088459222,6582.00231415329,9683.68246173745,8994.87799633986,8115.14638875067,6866.51065430353,7269.96311061451,7707.83744650376,6598.47551018362,8302.6251598913,8950.3752962537,5070.00312402655
"RANGAP1",667.949694166173,734.264218861723,1074.05909084137,759.348585455073,700.780604433974,577.038877003856,662.115633415235,689.071955313403,520.653793062708,721.399558169513,700.317766126935,831.122774893646
"CHADL",48.1722734578946,43.3922076036476,46.4496612805648,36.7137877401627,62.0538550491152,62.9955105899406,36.5993566209426,39.6018365122646,50.0899990615884,42.2545002122718,42.6475562705506,53.9690113567303
"L3MBTL2",616.252620211359,458.59607643855,597.414105085419,541.752233726791,619.468656438581,612.316362934223,530.690671003668,521.424180744817,628.594213575709,434.837220366288,650.936385182087,484.950116334048
"LOC104828703",69.3210764394094,52.7513112044343,119.339898982374,79.69578314328,74.8925836799667,78.1144331315264,101.480034267159,101.644713714812,71.2547873974709,77.5946276625355,94.2735454401644,96.3732345655898
"LOC104828879",19386.9901998046,18516.5610603565,25844.5915365063,19485.1712494132,23963.4869894842,20075.4093148023,23651.5024127246,20842.4465564048,20116.4258203117,21166.4315517873,20330.5389958164,21468.8727177073
