"","Eagle_002_null","Eagle_004_null","Eagle_006_null","Eagle_007_null","Eagle_008_null","Eagle_012_null","Eagle_013_null","Eagle_014_null","Eagle_015_null","Eagle_020_null","Eagle_021_null","Eagle_022_null"
"TNFRSF13C",4.39052114460437,3.24918378160217,1.65252344608873,5.16683076217892,4.73754925875802,0,3.45702197429733,3.82788121874941,3.69970487264408,4.87900751171579,2.95118205891404,4.92112510224046
"SHISA8",3.20547610880362,1.82882766449825,0.7778806086908,1.48073894894034,1.6506671992519,2.59446276091193,1.41338130122402,2.31039353750906,3.44319569316855,2.48789323109939,2.72498211059112,2.98893419713205
"SREBF2",10.233073693363,10.3130376902144,10.4595007103066,10.7111527443747,10.5078500397111,10.1094145569809,10.1826398751791,10.0386017929945,9.63678872408667,10.2976586700716,10.4166329905902,10.1700275814921
"CCDC134",4.77799845164368,3.86920433621536,4.18194884516622,3.85118669930921,4.26214739375435,3.46979244472815,2.93629466187266,4.0738831660553,2.1787033999473,4.33675404430486,4.2446485532547,4.4473556121507
"MEI1",6.63091428537804,6.57655030841173,6.50844262725616,6.31832271525616,6.53932771321413,6.10925923780466,6.53135637381778,6.82279646261786,6.45574857660016,6.5657215192815,6.74978753061576,7.06187954486729
"NHP2L1",10.7422067745338,10.5606845438225,11.2992085117395,10.9295636233781,10.7520454998384,11.3268210131356,10.6703653526751,10.9121178835812,11.1479425060947,10.7165872299849,11.2531910573142,10.3323917497316
"XRCC6",7.75889141134024,7.65065317968519,7.88765538323703,8.82971425786571,7.98581346074923,8.0392553451701,8.33125812918593,7.56809865789829,7.53791066176778,8.24282926962935,8.04231143245353,7.94353170840792
"DESI1",10.8183407929882,10.7768900194591,11.1669076664847,11.9577296490109,11.4097466235633,11.1413146977452,12.1889230796418,10.7412978789209,10.6301138912696,12.1552650754324,11.4995580695265,11.6916381586436
"PMM1",8.04219362736605,8.11644258114039,10.2762803486088,11.6138853831217,9.59319242227532,8.94358434959962,11.3642187605323,9.54719270599633,8.71203621531009,9.75961047103153,10.0102136230712,9.69261002665128
"CSDC2",3.11054160519219,2.9646981937908,2.74779155296841,3.17937157314962,2.89129558330566,1.81550182642114,3.83883652348566,3.35620418230177,2.73203981690575,3.64661827902552,3.85475863191865,3.35780962841157
"POLR3H",8.41671611256996,7.7902790790061,8.86262685980096,9.22465446530808,8.53182374694229,8.67670079430633,8.75446746934411,8.51308365073586,8.62706162455933,8.328073213618,9.03031238346111,8.29116738327261
"ACO2",9.1613968288148,9.12707324371891,9.47000535903946,9.28180954673814,9.26472216550309,9.46464727370899,9.79122637124245,9.3771905542152,9.37078958832824,9.24410631187681,9.29804034370605,9.44063518060096
"PHF5A",9.72112446216651,9.39296772653655,9.85552286115624,9.67535357214049,9.75556277322108,9.89325950807108,9.88050436504707,9.67849090664228,9.91710327014576,9.57139759480808,9.81012331073331,9.27636093865374
"TOB2",9.98052216336689,10.1551447747823,10.5183241265939,10.693318653316,10.3746793918481,10.1225182378722,10.6239725002989,10.2504126470476,10.109956585208,10.3748126960317,10.1677184599448,10.6652695286636
"TEF",10.4166499710436,10.6754629573424,11.1940042525074,11.0707886090601,10.8795936122648,10.7200388827329,11.1789167199345,10.8902095242136,10.6448098549706,10.9790395099156,10.8806155899913,11.1766273429017
"ZC3H7B",12.3798956961772,12.6845299895758,13.2414890316438,13.1350483798297,12.986579171494,12.745571528172,12.8279307606197,12.9122975914139,12.6881356562658,13.0195256040598,13.1278936408552,12.3080554478492
"RANGAP1",9.38575391229195,9.52211896862585,10.0702002446823,9.5705171704503,9.45487626536662,9.1750227167126,9.37311665771228,9.43060299247915,9.02694883806925,9.49665320021968,9.45392446530965,9.70065259513936
"CHADL",5.61977315394271,5.47223454988156,5.5683258834911,5.23702014803272,5.97851267305736,5.99989879567491,5.23263607041483,5.34347308011096,5.67496900412582,5.43477833390674,5.44782897772146,5.78054662695416
"L3MBTL2",9.26971724533543,8.84422267155595,9.22500037084412,9.08414994811848,9.27721452286565,9.26048763155579,9.0544433430211,9.02907786428784,9.29827847127452,8.76764559720816,9.34858738542756,8.92466441592856
"LOC104828703",6.13588524958244,5.74822804298597,6.9109712406057,6.33442138056849,6.24588700541743,6.30586900965863,6.67919905297375,6.68151551918123,6.17502127455291,6.29635879529097,6.57400377218583,6.60545336138328
"LOC104828879",14.2428756379165,14.1766064739447,14.6576306016446,14.2501630292979,14.548610435899,14.293213644508,14.5297052069806,14.3473062329198,14.2961580925526,14.3695586034391,14.3114318036646,14.3900260178781
