"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BOLA3",169.162494342165,0.548153774917513,0.177968127461451,3.0800671037922,0.00206953961605804,0.0728900495864526
"B4GALNT4",115.228095248893,0.549889400256713,0.126968886352201,4.33089882139603,1.48501911237589e-05,0.00151190823004086
"DUSP10",414.327976071824,0.554289663106039,0.148000349831399,3.74519157378669,0.000180256173700339,0.0113538950903367
"BEND2",394.061303246182,0.572628876825808,0.12731571675157,4.49770767848854,6.86900519155228e-06,0.000821035423683178
"LOC104833144",117.178012639,0.579562607054966,0.193045675048499,3.00220456588505,0.00268031995097994,0.0875230589275013
"LOC104841695",36.5830405950146,0.591313508630679,0.184549541993737,3.20409090286849,0.0013548969042707,0.0542673746882039
"ARID3A",180.80282189873,0.611730847453474,0.187562426581442,3.26147863728907,0.00110832783463613,0.0473065117822746
"USB1",49.0531099537955,0.61191827420171,0.206175705592889,2.96794558040701,0.00299797403791953,0.0958089387276178
"NLRC5",646.121137087993,0.621841279992796,0.202992230926532,3.06337477623888,0.00218855779859165,0.0755052440514118
"KAT2A",82.3767973553219,0.638364062313213,0.206077000384332,3.09769678868902,0.00195030861261817,0.0701556510415731
"TTC25",106.114990320243,0.665731152786786,0.217887142892557,3.055394384216,0.00224764749933782,0.0768452455854687
"VAT1",128.197975762755,0.678717735105004,0.228800680933087,2.96641483905154,0.00301293789332898,0.0960848681107856
"PTCHD3",127.816178113849,0.684959176455474,0.165622432749345,4.13566667923603,3.5392561001886e-05,0.00316034750593311
"LOC104842382",85.5933748234766,0.684994388346453,0.225395473565495,3.03907783732581,0.00237303533477292,0.0805876429124225
"LOC104833143",90.7496361150724,0.685214393371817,0.217593348151377,3.14905946892789,0.00163796859246252,0.0618516498347787
"RHOC",241.755943957375,0.719345053435554,0.223396151344007,3.22004228411186,0.00128171689922178,0.0520226270860604
"TTC31",95.892467858257,0.722727315092392,0.22111980863987,3.26848743013103,0.00108123980080322,0.0466284664096386
"IFI35",156.029231143927,0.729986113279475,0.168136895714695,4.34161764541056,1.41437512126976e-05,0.00146055879869898
"LOC104837085",21.1911790876361,0.748425883830312,0.247023432979411,3.02977687097682,0.00244734471043226,0.0821917980184992
"TRANK1",5106.63806633711,0.767020491101742,0.217942103009782,3.51937730484006,0.000432561061158511,0.0233018224721499
"PMVK",44.3843746208073,0.777731761800095,0.248577270107827,3.12873241170737,0.00175562108868795,0.0654799216861993
"MB21D1",42.2228730170682,0.788560199288985,0.168108068274842,4.69079329375054,2.72147807996006e-06,0.000350102010625371
"SERPING1",66.667923185184,0.793858587532873,0.218713161250721,3.62967908740909,0.000283773795400402,0.0164604345800909
"LOC104829645",84.6601946762489,0.794385925323867,0.18784874771049,4.22885930838444,2.34879164440272e-05,0.00217406446109959
"ZMIZ2",227.330073704957,0.820380514590186,0.186072605557117,4.40892689245629,1.03884083148282e-05,0.0011681188016229
"LOC104837120",88.8732015320811,0.822307247791618,0.274027896361074,3.00081582463451,0.00269257368373802,0.0875230589275013
"NT5C3B",725.14651424358,0.831345859444979,0.208598657564912,3.98538451373437,6.73709383526117e-05,0.00532651481350336
"TRAF3",3088.10214558172,0.833602819214633,0.229355016986184,3.63455236414055,0.000278463697780625,0.0163207680784166
"ZNRF1",111.832140180299,0.838127130229971,0.27068807975833,3.09628385179817,0.00195962672951534,0.0701583343255729
"PIK3AP1",666.858563636603,0.846487515424445,0.264326262450859,3.20243439897243,0.00136271333853795,0.0544368117868579
"EPB41L2",457.201295858519,0.858968119154961,0.274906251265715,3.12458561855224,0.00178055695590914,0.066085219048168
"LOC104833322",42.6850772076264,0.895787927196643,0.29263984033532,3.06105937650256,0.00220555351661099,0.075747290457364
"SH3BP2",174.059564297721,0.898856220380007,0.238498367113366,3.76881498711793,0.000164024405108528,0.0107787466214175
"LOC104836683",365.086817905777,0.906008679944721,0.224042171554237,4.04392027473894,5.25648000451211e-05,0.0043842509048623
"TRAFD1",408.133377940607,0.90718857627257,0.188705926230566,4.80741964173473,1.52890842663084e-06,0.000221036475392916
