"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NEUROD1",14.1655807093545,-3.96894822815336,1.19182310980327,-3.33014874062016,0.000867996032953021,0.0235298512231955
"CSRP2",14.7046779498494,-3.96051528917266,1.36594863366839,-2.89946136447043,0.00373804410226421,0.0452661376262777
"NPR2",10.4047239770287,-3.95020185001427,1.10174265857641,-3.58541245477272,0.000336545888450808,0.0155549626666047
"RSPO4",13.2898059663178,-3.92933091554285,1.29952062936677,-3.02367721354106,0.00249722724312742,0.0379358663511403
"AK7",25.3566403824865,-3.91958591536349,1.20679877086039,-3.24792004268369,0.00116251933862895,0.026645707619716
"CASQ1",8.20979317023169,-3.89372757180676,1.4862602020959,-2.61981553856848,0.00879773404578473,0.0693142821674635
"TGFBI",29.2958436413649,-3.88093826528584,1.13232859752714,-3.42739578754905,0.000609400157418034,0.0199678219804451
"THY1",7.23004488981811,-3.87964589906627,1.38183981868337,-2.80759451754896,0.00499130301733975,0.0516817909361481
"BPIFB2",11.759774118128,-3.85002038301405,1.25741674336759,-3.0618491469288,0.00219974282227837,0.0364360551255494
"PVRL1",123.503926227376,-3.84356441341149,0.77867850678551,-4.93600937988932,7.97372739698214e-07,0.00104834580951823
"LOC104829182",5.22299634007762,-3.83767999610831,1.44698470381932,-2.65219112958053,0.00799712585236336,0.0661792051260093
"GUCA2A",6.07432089479289,-3.83667649970603,1.40590370316227,-2.72897531393955,0.00635314596357447,0.0579552378533185
"NGF",5.40051346576253,-3.82143942742367,1.35303155723682,-2.82435350970518,0.00473760994582191,0.0506002715669533
"MFSD7",15.3582454103435,-3.80839202805862,1.04155589656722,-3.65644517073964,0.00025573708002844,0.013995568309241
"GPR88",8.49229826237706,-3.78229899868404,1.28580061040138,-2.94159060750745,0.00326531300119422,0.0426063656378806
"SP6",2.14607041088492,-3.77976431221153,1.47772984084479,-2.557818220718,0.0105331136513615,0.0767224995741138
"MYOD1",6.02695689661006,-3.76963309059782,1.46139024279976,-2.57948423370877,0.00989479752312461,0.0743987080055046
"LIF",3.78165657875141,-3.75945241512833,1.50463017821659,-2.49858900183986,0.0124688827806895,0.0838004530909213
"TLCD2",7.63467852991343,-3.75663802233624,1.05255545228529,-3.5690642371192,0.000358258582657976,0.0158994251999856
"DCN",60.1111275490735,-3.75166666843564,0.741414834454564,-5.06014513615124,4.18937467444813e-07,0.000881276856516909
"LOC104840856",4.92474934215605,-3.72307505417536,1.55508656033734,-2.39412721396533,0.0166599693395729,0.0977612411245611
"GJA1",19.0227806235614,-3.70117833066639,0.986920373381497,-3.75022993798881,0.000176672490007268,0.0115418711173692
"LOC104835735",4.48228269609118,-3.69833027032425,1.52682620970123,-2.42223394308114,0.0154254165635936,0.0935126982224077
"NOG",6.57181200335352,-3.68936951838091,1.22807885574978,-3.00417965923568,0.00266298023727251,0.0386334153594928
"CILP2",10.9226743872613,-3.67951106783089,1.16416157980683,-3.16065323890986,0.00157415778033258,0.0305436067616742
"PTGFRN",62.1197433422888,-3.67767854337222,0.890820406844059,-4.12841748473327,3.65268472506279e-05,0.0057791576711806
"CDHR4",12.3914467954518,-3.67397822310746,1.15699780567394,-3.17544096029414,0.0014960896236978,0.0299789773020889
"CRLF1",10.6130282243491,-3.66779733972937,1.1775466880984,-3.11477869777923,0.00184082963230526,0.0327502774979885
"EGLN3",189.3759091908,-3.667500736687,0.742709210955939,-4.93800357203942,7.89263974194013e-07,0.00104834580951823
"MOGAT2",44.1335375238432,-3.66152275565202,0.856750923555679,-4.27373073664865,1.92229159722038e-05,0.00430184319565191
"TM4SF4",8.59585096598764,-3.64575727694473,1.23966692771495,-2.94091678614421,0.00327242431616671,0.0426063656378806
"CABP7",11.8655906759803,-3.64406804235209,1.21781769264262,-2.99229356279476,0.00276889863017169,0.0392496978330806
"LEPREL2",14.5124664746889,-3.62121479866953,1.03889886579112,-3.48562782953081,0.000490983575917512,0.0184833636949335
"IL18BP",3.00560027863341,-3.60797432921108,1.38839127837794,-2.59867256831683,0.00935849926483986,0.0721830270793127
