"","Eagle_002_lps","Eagle_004_lps","Eagle_006_lps","Eagle_007_lps","Eagle_008_lps","Eagle_012_lps","Eagle_013_lps","Eagle_014_lps","Eagle_015_lps","Eagle_020_lps","Eagle_021_lps","Eagle_022_lps"
"NAGA",6.54198914057207,3.65066251542964,0,3.09536390297991,4.20536753244505,4.02285229102985,4.68774906637246,2.97743628308748,5.02133397329669,2.09597238796662,4.22523488129095,3.44840040233493
"WBP2NL",8.25738462784277,9.72350382651967,10.0808036446995,10.0723898738618,10.2485463947592,10.0924469546492,10.1644083488352,10.163618972905,10.3993938535028,10.0483110038194,9.55943975354689,10.0265630054959
"3-Sep",7.94065004749983,3.12202235422233,4.93751153990108,2.56909412675566,3.13002885387883,4.57792345043421,2.65726242405566,2.97743628308748,4.27730725403127,3.43635195007504,4.18978862050167,3.14573197276397
"CENPM",6.82143764314,8.5092645212311,7.80301145387007,8.91188744589464,8.72663232906191,8.51012490292972,8.6116284421682,8.54916103622713,8.59300902729419,8.98120160941335,8.00318412382913,8.81417151519685
"TNFRSF13C",5.8974811030495,3.78079947802514,3.98383955994656,2.70373875077556,3.65898684984592,3.48159670806366,3.29972058443805,2.48127371489907,1.04335359873226,4.36812945878046,3.45767031283515,2.76223334291408
"SHISA8",7.39484337956615,1.31146672245106,0,0.903632684504585,2.28607157744315,1.82479893323011,1.46959927807591,1.10163366589234,1.27183439478127,0,3.19705345653145,1.96059639981225
"SREBF2",8.4075737117302,8.9771927590601,8.93698701883775,9.33008490411458,9.15233284897147,9.04945617551543,8.91375794894295,8.70386599781867,8.46889820469468,9.04520782325003,8.83239408396268,8.99911188838461
"CCDC134",5.97783205094205,3.68431371987233,3.98383955994656,3.09536390297991,3.65898684984592,4.23250989673022,4.00363115389659,0,1.04335359873226,4.11900008345121,4.42136424361259,1.96059639981225
"MEI1",8.71748139245283,5.05772037807833,0,5.37975827798698,4.91070712770656,4.9777797790912,5.03782553235443,5.19082197763486,5.44096945620855,4.92961487552015,5.13114311525075,5.47194916707558
"NHP2L1",6.58537980938551,8.93588091852267,8.79977782139,9.5955629714332,9.18633552431691,9.48273525581417,8.99855152426026,9.70014890046162,9.67592176462493,9.03623610764869,9.09322322344682,9.75578354488154
"XRCC6",7.09200443595429,6.26999777351752,7.22127535402513,7.57393297518274,6.69693209818331,6.78569154027893,7.0340235750536,6.21611409129961,6.03829992319627,6.63305718063943,6.27167120972362,6.4825184818491
"DESI1",8.04690698365917,9.59504440560083,9.35128843955291,10.8830559836802,9.9564911056716,10.0924469546492,10.5807992596522,9.70213506463017,9.55700068367336,10.9217547800399,9.73646409450794,10.2767368272288
"PMM1",7.67745349276217,7.30455998929419,8.70047336210269,10.3490084524731,8.3856232774942,8.19670675149208,9.85552591395732,8.96764519143076,7.80386671058779,8.81280134347643,8.37468701524284,8.43463464761825
"CSDC2",7.1217815732127,1.12799632601573,0,2.56909412675566,1.55514429881252,2.60529345061777,3.29972058443805,0,1.64248254398873,0,2.96514355330338,1.61630004603222
"POLR3H",6.7621680867367,6.49525753810066,7.22127535402513,7.98762635761507,6.92118795142938,7.18910154877376,7.06294973679841,7.45276253223003,7.38259547619848,7.47457942647741,7.05631476275313,7.41629195011283
"ACO2",8.2054891648076,7.90621902924235,7.5975540838612,8.11240839949781,7.86811718044296,8.02426861138388,8.1322325528534,8.02866008544345,8.20408494057367,7.94623760120223,7.89178580481572,7.94984185825941
"PHF5A",6.56817982544688,7.87377218990881,7.80301145387007,8.25356013065171,8.26352144733321,8.22149736258125,8.23747973333702,8.38081999983939,8.53090899792918,7.82645192992141,7.77704439352976,8.45685879233814
"TOB2",7.62851034195669,8.95064786074026,9.17754219136389,9.06671802673867,9.13253676877252,9.21291042581982,9.20944401428412,9.01315240310885,8.95870953273571,9.13198375315259,8.64716011300607,8.87129380791714
"TEF",8.10769207153598,9.39236304395037,9.35128843955291,9.76540105470854,9.41248419773617,9.26153291298957,9.53260903856017,9.42749168540699,9.60758407002816,9.26848754891961,9.07876244606425,9.63128152828173
"ZC3H7B",9.89975104401569,11.2063500717328,11.2477917250997,11.8523037337316,11.6083454802784,11.2672293820502,11.3557200469309,11.6430768772449,11.467855148763,11.8033966074447,11.2261166755936,11.572357775156
"RANGAP1",7.96713699876681,7.98596788334316,8.35349554953545,8.22585364454312,7.94957087845762,7.7107462318259,7.92201862397617,7.95728042226555,7.81976239850301,7.60164739340554,7.66211518444832,8.15824571050276
"CHADL",6.14955437813574,3.81157882140083,0,4.00839344430274,4.71161633410436,4.57792345043421,4.15459706891088,4.18504459737552,4.58427794855654,4.36812945878046,4.11617131225691,4.38075880066949
"L3MBTL2",8.13423152097602,7.45348331504657,7.70393713672623,7.73000817113126,7.56260285405601,7.81215622442704,7.6314945168888,7.98364708620117,7.98394795204079,7.27548836829186,7.55823182830219,8.02041252966329
"LOC104828703",5.26887922283416,4.48155072101994,3.98383955994656,4.7459290370121,4.71161633410436,4.85640508429608,4.78354800309532,5.32059912375318,4.64671726234737,5.21048875365797,5.05438893540385,5.08975404599811
"LOC104828879",10.8882075703147,12.8161458641997,12.9799373363225,12.9490766455897,13.2234387783326,12.9794649212953,13.1110318375558,13.1882527348713,13.2051306839768,12.9278822267338,12.4644405616288,12.9834971753205
"RBX1",7.07383860919621,6.21924780980481,6.49074099567598,6.27850178330683,6.29545207116027,6.40777792431484,6.01569793688262,6.89524791055381,6.4478390713636,5.33276899432539,6.17528224019327,6.40022111535773
"XPNPEP3",8.732999452374,8.5209522510127,8.28659137863315,9.057316497152,8.75927154294605,9.25554396642475,9.08804888030979,9.29952995294288,9.44726000812453,9.08054695577012,8.93229338157427,9.53171473039435
"ST13",8.1830673539375,9.7275444626641,10.3001819427046,10.2368836925461,10.0753172659024,10.1709103457812,10.68913466524,10.103275467902,10.3773142348601,10.5828631696937,9.88722272372343,10.2017855400982
"SLC25A17",7.5778483212446,6.68590220953027,7.0703461261,6.50286163013447,5.97810860740806,6.0126671722694,7.11911821180609,6.88129154273932,6.80347274508845,6.58464871192887,6.52021920377691,6.29786992116863
"MKL1",8.73492752591166,9.0936894645966,9.06227258312637,8.71469519009607,8.88882240204822,9.10380311132631,8.7952186199463,7.98364708620117,8.15480702644499,8.6923292349181,9.29956171294628,8.20141137602832
"SGSM3",8.73685302613584,8.49984568120134,7.98282349660485,7.93384122725376,7.86811718044296,8.13279990691573,8.07184638338534,7.54417659189649,7.86204530096248,7.69581259446295,8.12782071591946,7.92552976051584
"ADSL",7.79300555040232,8.27121363841868,7.70393713672623,7.37891402772463,7.54773200415313,7.7107462318259,7.47528725236888,7.77304266402367,8.10007189976497,7.24466388921648,7.84413104522291,7.66270142888605
"TNRC6B",11.9114614317363,14.7837358441503,14.792072297648,15.2138873070154,14.8661040742316,14.6269738954583,14.8417673331218,14.8720853354808,14.8664575002719,15.1277355871163,14.5218138071444,14.8479461050357
"FAM83F",7.89998489998911,1.98691138847993,3.98383955994656,1.60017369900193,2.28607157744315,0,3.29972058443805,2.97743628308748,2.39068198182324,2.91653096565945,3.12381547090014,1.79869464884446
"GRAP2",9.65189185755546,6.83192320053721,7.0703461261,6.33665188999575,6.14548839042472,6.22370660464339,7.33212776599187,4.50928642142037,4.58427794855654,6.42884077890499,7.57893067462742,5.22340106786755
"CACNA1I",11.0907399776343,4.51933264202826,3.98383955994656,4.47175662035812,4.81459330611092,5.76537833967653,5.03782553235443,5.09732813351248,4.78268768173226,4.7655950587707,6.49139359479316,4.77837848187502
"RPS19BP1",6.42265784359224,8.73678215251523,8.93698701883775,9.13012005572495,9.03460755461753,9.21291042581982,8.71851327722352,9.35612633541991,9.52895745212727,8.94330988306205,8.58882462311068,9.29981767185222
"ATF4",7.17955315196808,9.94832386555344,9.82197846014875,9.70948030370124,9.98988085450029,10.2023844588412,10.5513319457068,10.1002663183331,10.3249722288309,10.1222434594375,9.86982977322653,10.0122043994355
"MIEF1",7.47085292320626,8.78022303729658,8.70047336210269,9.07295184782825,9.30162224071194,9.56736241926451,9.35493612022015,9.32036824786988,9.70249800184434,8.82327046951865,8.78715581453593,9.16197554950123
"MGAT3",8.78974938748971,8.2219400334351,7.35789966560051,7.49023505646677,7.70344360693738,8.35071720858707,7.69446847249841,5.36138748439863,5.17046305492533,7.64949813197605,8.74503925340856,6.40726140395472
"TAB1",7.18520508211222,8.03732809341561,9.21400577880806,9.43725822781342,7.64874592295717,7.37736204329597,8.84325353212984,8.11467996298624,7.62673899327227,8.89450133734585,7.45003388788494,8.01581371030512
"SYNGR1",6.53315217685864,7.42141519616663,7.70393713672623,8.08491151966009,7.30404666485506,6.91290234924093,7.72495376437757,6.07610121613961,5.39320460194295,7.42044359003802,7.55126568853469,6.42123974303927
"RPL3",8.03443648328047,10.6225971518093,11.3248370840696,11.5403484665618,10.8029034917123,11.0680624025562,11.1798243207883,11.178766074551,11.0559862485133,11.043158240832,10.5962008093209,11.4741556052428
"PDGFB",8.14587191543471,7.39116753324091,7.22127535402513,6.4367245093754,7.51752239831899,7.02979951695016,7.12827063951407,4.83306283167051,3.49268114718644,7.00821058785907,7.5159213291957,5.3309768134654
"CBX7",7.80773617343407,8.64896682950254,9.10172800695056,8.39834917319179,9.12253592529222,8.7072987861808,9.00601851627547,9.00029615367733,8.92131112988702,8.82327046951865,8.56135052524438,9.21810193514567
"CBX6",7.53422707398025,6.44706265844957,6.9017623334772,5.90501738599625,6.02180902148697,6.0126671722694,6.3644793036338,4.94464133860905,4.56284952998534,5.82470209043825,6.64978578014459,5.40318418763103
