"","Eagle_002_lps","Eagle_004_lps","Eagle_006_lps","Eagle_007_lps","Eagle_008_lps","Eagle_012_lps","Eagle_013_lps","Eagle_014_lps","Eagle_015_lps","Eagle_020_lps","Eagle_021_lps","Eagle_022_lps"
"POLDIP3",221.352117069403,994.379989065369,681.801652174224,1246.65328513854,1056.55399019727,1146.7019190408,1029.81966084386,1155.14339478466,1219.10392701192,1038.22005877541,861.115463158937,1094.08871512267
"RRP7A",133.721715967377,206.878459722095,222.326625708986,291.127647262854,339.260455567932,378.843871257383,338.84959630859,366.712188820527,412.026711624278,350.440209113468,286.887175918001,386.319089365444
"SERHL2",144.533258960484,102.846454904824,148.217750472657,143.677153933313,114.37923930576,88.9901711007276,133.593443975449,191.377923540713,161.273974678688,94.9791220961734,111.214174208719,132.216158927211
"LOC104829547",13.65668588603,2.07471234678318,14.8217750472657,3.48308251959546,5.8158935240217,5.08515263432729,4.423623972697,0,2.47569697971669,3.27514214124736,2.26967702466773,2.89222847653274
"NFAM1",237.853945848356,286.013916377967,237.148400756252,68.5006228853773,65.9134599389126,63.5644079290911,67.2390843849944,26.3574385714754,24.4032988000646,62.2277006836998,148.43687741327,47.9283576111139
"TCF20",1930.1449385589,3391.26552455617,2742.02838374416,3210.82156931375,3729.92638007258,3445.19090975674,3457.50449705998,3694.62530236681,3630.07911425888,3815.54059455317,4366.40466005578,3875.99933405051
"LOC104833067",93.8897154664562,4.44581217167825,14.8217750472657,6.67590816255796,7.7545246986956,7.62772895149093,10.6166975344728,12.6057314907056,11.3174719072763,6.55028428249472,12.7101913381393,8.26350993295067
"NDUFA6",36.4178290294133,96.9187053425859,118.574200378126,139.903814537084,124.07239517913,175.437765884292,106.166975344728,96.2619495653884,113.528390069866,121.180259226152,89.8792101768421,184.689447001448
"SMDT1",56.3338292798737,81.5065564807679,74.1088752363287,108.846328737358,81.4225093363038,119.501086906691,109.705874522886,134.079144037505,132.980294910497,72.0531271074419,93.964628821244,108.251980121654
"FAM109B",33.5726861364904,1.7783248686713,0,1.74154125979773,0,5.08515263432729,1.7694495890788,2.2919511801283,2.47569697971669,0,5.9011602641361,0.826350993295067
"NAGA",92.1826297307024,11.5591116463635,0,7.54667879245683,17.4476805720651,15.2554579029819,24.7722942471032,6.87585354038488,31.4767187421123,3.27514214124736,17.7034807924083,9.91621191954081
"WBP2NL",304.999318121336,844.407925140756,1081.9895784504,1075.69198480173,1215.52174652053,1090.7652400632,1146.60333372306,1145.97559006415,1349.6085249427,1057.8709116229,753.532772189686,1042.02860254508
"3-Sep",244.682288791371,7.70607443090897,29.6435500945315,4.93436690276023,7.7545246986956,22.8831868544728,5.3083487672364,6.87585354038488,18.390891849324,9.82542642374208,17.2495453874747,7.85033443630314
"CENPM",112.098629981163,363.371048165169,222.326625708986,480.665387704173,422.62159607891,363.588413354401,390.163634391876,373.588042360912,385.147715844497,504.371889752093,255.565632977586,449.121764855869
"TNFRSF13C",58.609943594212,12.744661558811,14.8217750472657,5.51488065602614,11.6317870480434,10.1703052686546,8.847247945394,4.58390236025659,1.06101299130715,19.6508528474842,9.98657890853801,5.78445695306547
"SHISA8",167.294402103867,1.48193739055942,0,0.870770629898865,3.8772623493478,2.54257631716365,1.7694495890788,1.14597559006415,1.41468398840954,0,8.17083728880383,2.89222847653274
"SREBF2",338.572004257827,502.969550355866,489.11857655977,642.628724865362,568.018934179452,528.855873970038,481.290288229434,415.989139193286,353.317326105283,527.297884740825,454.843275743413,510.684913856352
"CCDC134",62.0241150657195,11.8554991244753,14.8217750472657,7.54667879245683,11.6317870480434,17.7980342201455,15.0403215071698,0,1.06101299130715,16.3757107062368,20.4270932220096,2.89222847653274
"MEI1",419.943090995422,32.3062351141953,0,40.6359627286137,29.0794676201085,30.5109158059637,31.8500926034184,35.5252432919886,42.4405196522862,29.4762792712262,34.0451553700159,43.383427147991
