GeneID,Eagle_002_null,Eagle_004_null,Eagle_006_null,Eagle_007_null,Eagle_008_null,Eagle_012_null,Eagle_013_null,Eagle_014_null,Eagle_015_null,Eagle_020_null,Eagle_021_null,Eagle_022_null
LOC104836534,44,34,19,32,5,1,14,35,12,43,10,123
UPB1,157,135,77,100,53,21,29,89,72,130,66,336
GUCD1,436,330,476,403,288,134,217,291,433,333,304,466
SNRPD3,472,256,354,280,246,96,155,185,357,290,216,251
LRRC75B,35,22,15,8,14,5,2,9,31,13,17,30
GGT1,23,12,9,3,5,5,2,6,24,9,3,11
GGT5,156,113,185,98,78,32,36,64,112,138,95,150
SMPD4,1537,1281,1798,1503,979,348,771,826,1338,1379,1027,1185
MED15,10790,9284,14917,9692,7164,3385,4947,6347,11411,10826,8237,7906
KLHL22,896,534,744,513,471,202,346,455,777,607,490,678
CRKL,2399,1320,1759,1409,1270,609,885,947,1925,1650,1375,2227
LOC104836693,258,229,297,136,165,63,108,129,244,170,118,311
CABIN1,10816,9195,13364,8414,7285,2581,4791,6129,9072,10122,7513,9736
DDT,145,70,34,82,43,6,37,45,19,75,24,157
LOC104836990,29,21,8,19,18,1,8,19,14,30,9,48
LOC104836702,113,84,34,115,56,5,45,60,39,85,18,143
DDX51,1204,939,1707,1209,834,304,527,583,883,1267,794,978
LOC104836711,187,147,33,112,33,1,25,53,31,87,31,136
LOC104837005,10,9,3,5,1,0,3,2,6,3,4,5
LOC104836722,8,8,2,5,2,1,1,1,11,4,5,10
LOC104836733,22,6,2,10,5,4,0,2,14,4,8,7
LOC104837012,8,10,3,6,2,0,1,1,5,5,5,5
LOC104836743,35,12,6,7,6,6,0,6,14,5,10,16
LOC104836751,15,8,5,10,6,6,2,6,15,8,5,15
DERL3,415,307,394,260,207,89,152,125,301,289,191,321
